_date,total_views,unique_views
2022-12-25,4,2
2022-12-26,40,29
2022-12-27,21,7
2022-12-28,42,11
2022-12-29,33,10
2022-12-30,74,35
2022-12-31,80,17
2023-01-01,46,13
2023-01-02,57,26
2023-01-03,73,26
2023-01-04,95,39
2023-01-05,117,39
2023-01-06,39,24
2023-01-07,114,27
2023-01-08,123,29
2023-01-09,56,28
2023-01-10,63,20
2023-01-11,37,17
2023-01-12,26,18
2023-01-13,25,16
2023-01-14,62,28
2023-01-15,30,13
2023-01-16,42,18
2023-01-17,56,34
2023-01-18,38,21
2023-01-19,38,26
2023-01-20,46,19
2023-01-21,84,27
2023-01-22,47,30
2023-01-23,64,23
2023-01-24,86,22
2023-01-25,58,36
2023-01-26,62,34
2023-01-27,55,24
2023-01-28,123,24
2023-01-29,52,24
2023-01-30,37,19
2023-01-31,32,19
2023-02-01,32,16
2023-02-02,38,24
2023-02-03,32,17
2023-02-04,30,17
2023-02-05,24,17
2023-02-06,37,27
2023-02-07,36,24
2023-02-08,24,19
2023-02-09,29,19
2023-02-10,28,17
2023-02-11,28,19
2023-02-12,16,12
2023-02-13,43,25
2023-02-14,25,19
2023-02-15,44,27
2023-02-16,45,24
2023-02-17,36,25
2023-02-18,58,34
2023-02-19,59,23
2023-02-20,37,24
2023-02-21,69,35
2023-02-22,64,38
2023-02-23,74,43
2023-02-24,58,31
2023-02-25,46,33
2023-02-26,23,21
2023-02-27,48,27
2023-02-28,52,36
2023-03-01,53,37
2023-03-02,64,31
2023-03-03,54,35
2023-03-04,51,30
2023-03-05,114,42
2023-03-06,72,40
2023-03-07,85,48
2023-03-08,82,39
2023-03-09,73,43
2023-03-10,74,44
2023-03-11,51,40
2023-03-12,48,35
2023-03-13,45,32
2023-03-14,55,36
2023-03-15,100,54
2023-03-16,62,44
2023-03-17,57,33
2023-03-18,56,37
2023-03-19,61,39
2023-03-20,66,44
2023-03-21,86,33
2023-03-22,56,42
2023-03-23,48,36
2023-03-24,40,25
2023-03-25,97,47
2023-03-26,169,58
2023-03-27,117,56
2023-03-28,84,43
